,data_type,model_type,r^2,times_better_than_random,nutrient,leverage,feature,importance
274,stream,MLP,0.0002562353216516433,0.019938867100255445,tn,non_leverage,era,
275,stream,MLP,0.03321893428704037,3.429381249638098,tp,non_leverage,era,
276,stream,GBR,0.4127291070205592,1.5987124204652117,doc,non_leverage,era,0.0005392325621946258
277,stream,GBR,0.18651988757330207,1.3100906606295757,no3,non_leverage,era,0.010389971962909136
278,stream,GBR,0.4437162000309931,1.5013139413579482,tn,non_leverage,era,0.0005567849110491835
279,stream,GBR,0.057297518316711475,0.8470468816174279,tp,non_leverage,era,0.0011972631798559555
280,stream,RFR,0.5812215222602932,4.23532627030197,doc,non_leverage,era,0.0021188713888656827
281,stream,RFR,0.275375878462002,4.108131064644389,no3,non_leverage,era,0.0014878427675722374
282,stream,RFR,0.584564734648005,4.7203594538043685,tn,non_leverage,era,0.00419482888547476
283,stream,RFR,0.14563853768607815,5.015574939088227,tp,non_leverage,era,0.0016155335053477215
284,stream,DTR,0.4517594855422482,3.7724312111766762,doc,non_leverage,era,0.003003506337548065
285,stream,DTR,0.2112925304375587,3.8508357963462965,no3,non_leverage,era,0.009022816993970548
286,stream,DTR,0.3906270363751203,3.7822183399794604,tn,non_leverage,era,0.0001809824348455243
287,stream,DTR,0.04674454412130991,4.1295333107047085,tp,non_leverage,era,3.2590262465947635e-05
288,stream,MLP,0.1383251326493703,2.997553253265397,doc,leverage,era,
289,stream,MLP,0.09843985156830648,4.722925446279176,no3,leverage,era,
290,stream,MLP,0.11828771204346088,2.3701573793799917,tn,leverage,era,
291,stream,MLP,0.002184678320796052,5.1000423474085945,tp,leverage,era,
292,stream,GBR,0.1591870762007922,1.4926771357072772,doc,leverage,era,0.00783869455498883
293,stream,GBR,0.039194489017014944,1.8068184487084236,no3,leverage,era,0.016542000160824036
294,stream,GBR,0.09560134696752408,1.4393826199268798,tn,leverage,era,0.035150420540788464
295,stream,GBR,0.033148970773321566,1.3115957929869753,tp,leverage,era,0.0009369227394789038
296,stream,RFR,0.21259753163307185,5.207999011285195,doc,leverage,era,0.002668324392599465
297,stream,RFR,0.1123693461491584,10.08860479436984,no3,leverage,era,0.0006123276349232258
298,stream,RFR,0.43452627197965704,10.3699048325758,tn,leverage,era,0.00627678147228481
299,stream,RFR,0.10819624961127716,9.131071267406751,tp,leverage,era,0.0001615046840696443
300,stream,DTR,0.4596764865533909,7.441046229100187,doc,leverage,era,0.0021952673338484717
301,stream,DTR,0.044488453170611016,8.620387918387657,no3,leverage,era,0.0021755377067612307
302,stream,DTR,0.16057418753935007,8.798874681597974,tn,leverage,era,0.0013400901727223706
303,stream,DTR,0.07480883250393999,10.688852232074632,tp,leverage,era,6.973469405868483e-05
304,lake,MLP,0.10096029491284643,2.3455509843152966,doc,leverage,era,
305,lake,MLP,0.16499519685748898,3.28126037747711,no3,leverage,era,
306,lake,MLP,0.23774500444157476,2.417766318898051,tn,leverage,era,
307,lake,MLP,0.7894979365942154,2.7952037208025686,tp,leverage,era,
308,lake,GBR,0.07273398172943403,0.911907409243538,doc,leverage,era,0.0033120992788254738
309,lake,GBR,0.3413360669825719,1.5824595874906129,no3,leverage,era,0.004474831240176441
310,lake,GBR,0.4242830364206906,1.928129986083449,tn,leverage,era,0.005368510253581507
